name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
LEOTA,UT,Uintah,1926.0,1941.0,True,2.0,15.0,40.18885,-109.6526,Utah
LEROY,MT,Blaine,1915.0,1964.0,True,1.0,49.0,47.87415,-109.3185,Montana
LESBIA,NM,Quay,1913.0,1918.0,True,5.0,5.0,35.162,-103.5786,New Mexico
LESTER,CO,Huerfano,1910.0,1929.0,True,3.0,19.0,37.50168,-104.7133,Colorado
LETA,MT,Rosebud,1917.0,1919.0,True,6.0,2.0,46.72972,-107.0242,Montana
LEVEL,ID,Jefferson,1915.0,1935.0,True,2.0,20.0,43.89574,-112.4919,Idaho
LEWIS,OR,Wallowa,1913.0,1935.0,True,4.0,22.0,45.69071,-117.0946,Oregon
LEWIS,WA,Lewis,1910.0,1930.0,True,2.0,20.0,46.57777,-122.3926,Washington
LIBERTY,OK,Sequoyah,1914.0,1927.0,True,3.0,13.0,35.47759,-94.54244,Oklahoma
LIBERTY BOND,WA,Klickitat,1918.0,1933.0,True,2.0,15.0,45.87679,-121.2695,Washington
LIBERTY FARMS,CA,Solano,1952.0,1983.0,True,1.0,31.0,38.31297,-121.6944,California
LICHTY,WA,Yakima,1913.0,1917.0,True,5.0,4.0,46.29263,-119.9531,Washington
LIGHT,AZ,Cochise,1910.0,1917.0,True,5.0,7.0,31.9062,-109.5767,Arizona
LIGHTCAP,SD,Corson,1917.0,1937.0,True,2.0,20.0,45.60249,-101.4096,South Dakota
LIGHTNER,TX,Concho,1911.0,1918.0,True,4.0,7.0,31.12628,-99.61729,Texas
LIGHTNING FLAT,WY,Crook,1921.0,1937.0,True,2.0,16.0,44.986,-105.0359,Wyoming
LIGON,TX,Cochran,1924.0,1925.0,True,5.0,1.0,33.62177,-102.7985,Texas
LILACS,MT,Hill,1911.0,1914.0,True,6.0,3.0,48.86389,-110.3369,Montana
LILLIS,KS,Marshall,1910.0,1958.0,True,1.0,48.0,39.60972,-96.29612,Kansas
LIMESTONE,MT,Stillwater,1910.0,1953.0,True,1.0,43.0,45.47772,-109.9024,Montana
LIMINGTON,MT,Teton,1914.0,1914.0,True,4.0,0.0,47.71079,-112.0108,Montana
LINAIR,MT,Phillips,1918.0,1918.0,True,7.0,0.0,48.015,-107.7904,Montana
LINCOLN,WA,Lincoln,1912.0,1985.0,True,1.0,73.0,47.82905,-118.415,Washington
LINCOLN ACRES,CA,San Diego,1927.0,1967.0,True,1.0,40.0,32.66783,-117.0728,California
LINCOLN BEACH,OR,Lincoln,1933.0,1959.0,True,1.0,26.0,44.85039,-124.0468,Oregon
LINCOLN VALLEY,ND,Sheridan,1912.0,1961.0,True,1.0,49.0,47.63833,-100.3043,North Dakota
LINDBERGH,WY,Laramie,1929.0,1950.0,True,1.0,21.0,41.31165,-104.1097,Wyoming
LINDEMAN,TX,Dewitt,1920.0,1920.0,True,5.0,0.0,29.11775,-97.37082,Texas
LINDSTROM,MT,Fergus,1912.0,1918.0,True,5.0,6.0,47.3422,-108.7513,Montana
LINFOR,ID,Shoshone,1916.0,1925.0,False,5.0,9.0,47.60825,-116.2357,Idaho
LINGO,NM,Roosevelt,1918.0,1986.0,True,1.0,68.0,33.78843,-103.1147,New Mexico
LINGSHIRE,MT,Meagher,1920.0,1937.0,True,2.0,17.0,46.84106,-111.4075,Montana
LINNELL,CA,Tulare,1942.0,1959.0,True,1.0,17.0,36.30967,-119.224,California
LINSLAW,OR,Lane,1917.0,1957.0,True,1.0,40.0,44.0004,-123.684,Oregon
LISLE,MT,Rosebud,1911.0,1912.0,True,6.0,1.0,46.0611,-106.7886,Montana
LITCHTON,AZ,Maricopa,1919.0,1923.0,True,2.0,4.0,33.49337,-112.3579,Arizona
LITTLE BEAR LAKE,CA,San Bernardino,1917.0,1922.0,True,3.0,5.0,34.25013,-117.1901,California
LITTLE CROOKED,MT,Fergus,1916.0,1930.0,True,3.0,14.0,47.50916,-108.5507,Montana
LITTLE JEWEL,MT,Blaine,1913.0,1925.0,True,4.0,12.0,48.78612,-108.3235,Montana
LITTLE VALLEY,CA,Lassen,1948.0,1967.0,True,1.0,19.0,40.89433,-121.1775,California
LIVENGOOD,AK,,1915.0,1957.0,True,2.0,42.0,65.52444,-148.5447,Alaska
LIVING SPRINGS,MT,Wheatland,1916.0,1951.0,True,1.0,35.0,46.59218,-109.5363,Montana
LIZARD,MT,Toole,1920.0,1921.0,True,7.0,1.0,48.68333,-111.4486,Montana
LLAVES,NM,Rio Arriba,1942.0,1985.0,True,1.0,43.0,36.37363,-106.8673,New Mexico
LOCATE,MT,Custer,1925.0,1974.0,True,1.0,49.0,46.43056,-105.3078,Montana
LOCHLOY,WA,Snohomish,1915.0,1918.0,True,4.0,3.0,48.05149,-122.0321,Washington
LOCHRIDGE,TX,Brazoria,1913.0,1934.0,True,2.0,21.0,29.35302,-95.53105,Texas
LOCKE,CA,Sacramento,1916.0,1963.0,True,1.0,47.0,38.25047,-121.5094,California
LOCKERBY,UT,San Juan,1916.0,1937.0,True,2.0,21.0,37.80027,-109.0815,Utah
LOCKHART,CA,San Bernardino,1953.0,1957.0,True,2.0,4.0,35.0147,-117.3309,California
LODORE,CO,Moffat,1924.0,1929.0,True,4.0,5.0,40.78024,-108.8929,Colorado
LOFALL,WA,Kitsap,1912.0,1934.0,True,2.0,22.0,47.81204,-122.6582,Washington
LOFTUS,CA,Shasta,1944.0,1954.0,True,1.0,10.0,40.90515,-122.3792,California
LOG CABIN,CA,Yuba,1926.0,1944.0,True,2.0,18.0,39.44017,-121.0677,California
LOG CABIN,OR,Klamath,1930.0,1930.0,True,5.0,0.0,43.55123,-121.6025,Oregon
LOGDELL,OR,Grant,1916.0,1944.0,True,2.0,28.0,44.22265,-119.1291,Oregon
LOGSDEN,OR,Lincoln,1921.0,1974.0,True,1.0,53.0,44.74274,-123.7933,Oregon
LOHMAN,MT,Blaine,1916.0,1964.0,True,1.0,48.0,48.58972,-109.4052,Montana
LOKOYA,CA,Napa,1925.0,1951.0,True,1.0,26.0,38.37325,-122.4278,California
LOMA,OR,Harney,1911.0,1912.0,True,7.0,1.0,43.36654,-119.0002,Oregon
LOMA PORTAL,CA,San Diego,1915.0,1928.0,False,2.0,13.0,32.74394,-117.2189,California
LOMA VISTA,TX,Zavala,1912.0,1926.0,True,3.0,14.0,28.76887,-99.59783,Texas
LOMA VISTA,OR,Lake,1913.0,1918.0,True,6.0,5.0,43.30819,-120.8192,Oregon
LOMBARD,CO,Clear Creek,1914.0,1919.0,True,5.0,5.0,39.8136,-105.625,Colorado
LOMITA PARK,CA,San Mateo,1933.0,1951.0,True,1.0,18.0,37.6166,-122.4044,California
LOMO ALTO,TX,Mcmullen,1910.0,1921.0,True,3.0,11.0,28.12084,-98.51501,Texas
LON,NM,Lincoln,1934.0,1943.0,True,3.0,9.0,34.14758,-105.1236,New Mexico
LONA,OK,Haskell,1912.0,1913.0,True,6.0,1.0,35.15569,-95.28952,Oklahoma
LONE OAK,CO,Las Animas,1922.0,1928.0,True,4.0,6.0,37.05502,-103.6333,Colorado
LONESOME,MT,Phillips,1919.0,1923.0,True,5.0,4.0,47.98611,-108.0923,Montana
LONESOMEHURST,OR,Harney,1918.0,1918.0,True,7.0,0.0,43.8521,-118.931,Oregon
